customer_message,expected_escalation,predicted_escalation,intent,confidence,reasons
I’m so over @115900 @116136 @112158! I have had faulty internet for 4 months now. You want me to pay my bill consistently but don’t want to give me constant service! 🙄👎🏾😡,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
"@comcastcares I am still a customer.. 608 Belle Oak Ln, Brandon, MS 39042. You cancelled todays appt. again!!now until  11/05",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@ComcastCares
#mobile_Care Still waiting for $5.00 credit to show on my account. And issues with account requirement for autopay. never told",ESCALATE,ESCALATE,PAYMENT_ISSUE,0.95,Customer appears highly frustrated
"Hey @136958, isn't broadband internet classified as a utility? Aren't major internet providers like @115900 and @116072 supposed to comply with this by providing internet availability to all citizens? My town is still a DEAD ZONE, despite HUNDREDS of complaints.",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@116136 my house pays over $1000 a month for your WiFi’s yet it goes out everyday; please actually help and not leave me on hold for 30!! 😤,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@comcastcares my house is 2 miles away for your tap box but you won’t service my home. I was told there needs to be a demand.#Ijustneedwifi,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"@115900 is such a joke.  After major issues this week with an unauthorized change to my account, now HBO is gone and no one is available for me to speak to. @comcastcares",ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer appears highly frustrated
".@comcastcares recently told me they are upgrading speed &amp; I should buy a faster modem. Very cool. But if all my online is done wirelessly I'm probably not even using my current modem's top speed, correct? #Comcast @115900",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
"@116136 Your service is the worst &amp; we are basically forced to use your service in my area, you NEVER acknowledge long term customers by giving them perks and I ALWAYS have problems streaming Netflix w/your service. Can't watch it half the time yet no problem w/other's like Hulu🤔",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@ComcastCares
#mobile_CareXI internet isn’t working even after several restarts of the modem... please help!",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@115900 your WiFi trash af,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
@comcastcares I am on phone with your agents since 3 hours..no one giving a satisfactory answer.. why would you disconnect some one account without a reason,ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer requested a human agent
Dear @116136 BeIn Sports en Español English feed is not the same as BeIn Sports English.,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
@comcastcares why is NBCSN the only channel that is suddenly not working?? By the way ... its opening night for the NHL,AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.8,
Hey @116136 why won’t you let me setup automatic payment on your website? All I get is errors. It’s 2017.,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.65,
"@comcastcares Are you going to add live sporting events to on demand availability? Because that’s what I was trying to record. Also, what about the streaming question?",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@comcastcares with the amount of issues I’ve had with your company/ internet I basically deserve a free internet upgrade for life,AUTO_HANDLE,ESCALATE,PLAN_CHANGE,0.65,Customer appears highly frustrated
@comcastcares Currently can’t even use my internet because you guys slow it down so much after reaching the data cap @comcastcares @116136 @115900,AUTO_HANDLE,AUTO_HANDLE,INTERNET_OUTAGE,0.95,
I feel @116136 should add the #WWEApp like they did YouTube. Cause I can't keep missin ppv n I refuse to pay $70... https://t.co/r1s4RmBSai,ESCALATE,AUTO_HANDLE,PAYMENT_ISSUE,0.95,
@comcastcares I went to a xfinity store and they said I don’t have coverage in my area.,AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
My download speed from @115900 is 3-15 Mbps: I pay for 25 Mbps. I guess it's time to cut my bill by 2/3 and only pay for what they really give me.,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
"@115911 @116136 I'm trying to call Comcast about the non-working connection, but I have no cell service at home, only wifi calling (that doesn't work) 😓",AUTO_HANDLE,AUTO_HANDLE,TECHNICAL_ISSUE,0.65,
For 3 weeks now @115900 has yet to have a full week of service without going down...best believe they will be canceled very soon,AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
@116136 Probably the worse company I’ve ever dealt with and the absolute worst customer service on the planet Comcast/xfinity don’t give a shot about the costumers,AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"@comcastcares Yup, absolutely. I'm still waiting on someone to get in touch about changing / canceling my service. Can you help?",AUTO_HANDLE,AUTO_HANDLE,CANCELLATION,0.65,
"@116136 reps get actively upset when you tell them to stop calling about ""account evaluations."" Not sure if super loyal or operating under insane quotas.",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
@comcastcares I’ve sent you a dm my issue isn’t with my account... it’s the lack of service Comcast providers and the consisntant lying that seems to be thrown around through your company there are major issues with locations all over the states and I know too many people whom are being abused,ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer appears highly frustrated
"@comcastcares Thx for reaching out, but your on planet Zerta if you think I'm sending you personal information.",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
"@ComcastCares
#mobile_Care Was straight up lied to in August about keeping internet speed with new promo, come to find out speed was significantly dropped. Called CS said nothing they could do. Flat out lying to cust. means nothing evidently.",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@ComcastCares: #mobile_CareXI
slow internet in pasadena md today",AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"I am on the phone with  @comcastcares right now. Mind you i pay for 150mbps and my @55 came back at 92mbps. I swear the rep just told me that for those who are on that plan it is good when they get 92 download speed. hmmm

#cantmakethisup #forreal #confused",AUTO_HANDLE,AUTO_HANDLE,PLAN_CHANGE,0.65,
@116136 Can you please take me off your calling list?  Every other day I get a call from a telemarketer saying you service my area.  Long discussion ensues (you don't)... and they hang up in frustration.  If you did... sign me up!!,AUTO_HANDLE,ESCALATE,SERVICE_AVAILABILITY,0.95,Customer appears highly frustrated
"@116136 I'll believe it when I see it. I asked for help to lower my bill and all I got was a sales pitch and a whopping $14.00 reduction. Mostly home bound, cable and internet are my main contact with the world.",AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
"REALLY, @115900 ???
All I wanted to do was look at CNN's election coverage, and your DVR shit the bed AGAIN! 20 minutes offline!
Whenever I've dealt with your people, it's been great customer service, but I've had to deal with your people too many times.",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.65,
@ComcastCares: #mobile_CareXI why is my internet slowing down suddenly so often lately,AUTO_HANDLE,AUTO_HANDLE,SLOW_INTERNET,0.95,
"@ComcastCares: #mobile_Care
It's saying it's updating my account for the last 4 hours",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
I asked @116136 to cancel the TV channels I don't even use &amp; they told me my bill would go up by about $20 from what I pay now #WTFever,AUTO_HANDLE,AUTO_HANDLE,BILLING_ISSUE,0.65,
Hello @comcastcares  I need to talk to someone about a issue with my account,ESCALATE,ESCALATE,ACCOUNT_ISSUE,0.65,Customer appears highly frustrated | Customer requested a human agent
"@116136 @comcastcares I have called in and done this.  I received a return phone call from an automated message telling me there is no service in my area.  Which I already knew, I had asked when and maybe how I could get service.",AUTO_HANDLE,AUTO_HANDLE,SERVICE_AVAILABILITY,0.95,
"@116136 HQ, VP Customer Relations said  they cannot call me back - a customer- as I am overseas, but they do call Panama to check their overseas offshore accounts",ESCALATE,AUTO_HANDLE,ACCOUNT_ISSUE,0.65,
